ID,Все 18+_TVR,Канал_ПЕРВЫЙ КАНАЛ,Канал_РЕН ТВ,Канал_РОССИЯ 1,Канал_СТС,Канал_ТНТ,day,year,month,hour,holidays
446,0.98,0,1,0,0,0,6,2018,11,19,0
447,1.36,0,1,0,0,0,6,2018,11,20,0
448,1.12,0,1,0,0,0,6,2018,11,21,0
449,1.14,0,1,0,0,0,6,2018,11,22,0
450,1.11,0,1,0,0,0,6,2018,11,23,0
451,0.57,0,1,0,0,0,7,2018,11,0,1
452,0.2,0,1,0,0,0,7,2018,11,1,1
453,0.17,0,1,0,0,0,7,2018,11,2,1
454,0.24,0,1,0,0,0,7,2018,11,3,1
455,0.4,0,1,0,0,0,7,2018,11,4,1
456,0.4,0,0,0,0,1,6,2018,11,5,0
457,0.29,0,0,0,0,1,6,2018,11,6,0
458,0.25,0,0,0,0,1,6,2018,11,7,0
459,0.41,0,0,0,0,1,6,2018,11,8,0
460,0.58,0,0,0,0,1,6,2018,11,9,0
461,0.6,0,0,0,0,1,6,2018,11,10,0
462,0.67,0,0,0,0,1,6,2018,11,11,0
463,0.54,0,0,0,0,1,6,2018,11,12,0
464,0.17,0,0,0,0,1,6,2018,11,13,0
465,0.1,0,0,0,0,1,6,2018,11,14,0
466,0.23,0,0,0,0,1,6,2018,11,15,0
467,0.6,0,0,0,0,1,6,2018,11,16,0
468,0.55,0,0,0,0,1,6,2018,11,17,0
469,0.97,0,0,0,0,1,6,2018,11,18,0
470,1.36,0,0,0,0,1,6,2018,11,19,0
471,2.44,0,0,0,0,1,6,2018,11,20,0
472,1.56,0,0,0,0,1,6,2018,11,21,0
473,1.25,0,0,0,0,1,6,2018,11,22,0
474,0.89,0,0,0,0,1,6,2018,11,23,0
475,1.11,0,0,0,0,1,7,2018,11,0,1
476,0.61,0,0,0,0,1,7,2018,11,1,1
477,0.66,0,0,0,0,1,7,2018,11,2,1
478,0.58,0,0,0,0,1,7,2018,11,3,1
479,0.51,0,0,0,0,1,7,2018,11,4,1
480,0.23,1,0,0,0,0,7,2018,11,5,1
481,1.06,1,0,0,0,0,7,2018,11,6,1
482,1.82,1,0,0,0,0,7,2018,11,7,1
483,1.4,1,0,0,0,0,7,2018,11,8,1
484,0.73,1,0,0,0,0,7,2018,11,9,1
485,1.63,1,0,0,0,0,7,2018,11,10,1
486,1.24,1,0,0,0,0,7,2018,11,11,1
487,2.25,1,0,0,0,0,7,2018,11,12,1
488,1.76,1,0,0,0,0,7,2018,11,13,1
489,2.74,1,0,0,0,0,7,2018,11,14,1
490,1.7,1,0,0,0,0,7,2018,11,15,1
491,2.24,1,0,0,0,0,7,2018,11,16,1
492,2.91,1,0,0,0,0,7,2018,11,17,1
493,3.12,1,0,0,0,0,7,2018,11,18,1
494,4.49,1,0,0,0,0,7,2018,11,19,1
495,4.99,1,0,0,0,0,7,2018,11,20,1
496,5.3,1,0,0,0,0,7,2018,11,21,1
